feature,median,std
method_name_words,0.1557678466701621,0.014777056916092143
char_length,0.1355723386695305,0.004963622273006086
tokens,0.0938432489967271,0.005875295253110616
code_loc,0.06607697494883959,0.0024220495953497906
call_expression_count,0.059322827702787594,0.003194926459978423
docstring_words,0.0587496202166919,0.002569923921844835
comment_ratio,0.057117853707452294,0.007428301112610033
halstead_volume,0.05470844902384432,0.004528132889297109
param_count,0.04828191364303572,0.004708864686636311
number_of_variable,0.04537975519735915,0.0036527328889537896
is_in_test_code,0.045348215000689904,0.004455498047890846
cyclomatic_complexity,0.04225226813874196,0.003207028607693323
has_return,0.027761875917090874,0.0036320395818126407
max_nesting_depth,0.026313446952803937,0.0021949871336368132
is_dunder_method,0.025362783149394916,0.0018717144606403317
is_private,0.014737346109844934,0.0017921131552966184
is_test,0.012009593687435847,0.0011143528163496672
uses_constants,0.010005749652742228,0.0016105804515002503
is_getter,0.006590562905988173,0.0014163023013722522
uses_try_except,0.005690563199521826,0.0010388379013209546
is_IsHas,0.005457519702946164,0.0013440191656409113
number_of_print,0.005223598050589308,0.0015394701460632915
is_setter,0.0,0.0008063732893739248
